Subject	TrialId	bin	pupil_change
1240	7	1100	0.12170179032258062
1240	7	1150	0.12421812365591396
1240	8	-200	0.08501869585253471
1240	8	-150	0.05764233870967753
1240	8	-100	0.005154005376344066
1240	8	-50	-0.06460849462365581
1240	8	0	-0.09737632795698925
1240	8	50	-0.11999632795698918
1240	8	100	-0.15930816129032244
1240	8	150	-0.16883116129032247
1240	8	200	-0.22749999462365586
1240	8	250	-0.2204614946236559
1240	8	300	-0.23820082795698924
1240	8	350	-0.25313716129032254
1240	8	400	-0.20636899462365577
1240	8	450	-0.22654749462365595
1240	8	500	-0.1969646612903225
1240	8	550	-0.17767432795698915
1240	8	600	-0.1341074946236558
1240	8	650	-0.14257866129032246
1240	8	700	NA
1240	8	750	NA
1240	8	800	-0.13964541129032249
1240	8	850	-0.10324316129032256
1240	8	900	-0.10711532795698919
1240	8	950	-0.1005874946236558
1240	8	1e3	-0.09689766129032258
1240	8	1050	-0.10701532795698913
1240	8	1100	-0.10187399462365583
1240	8	1150	-0.15412432795698913
1240	9	-200	0.0092859666666667
1240	9	-150	-0.01546686666666656
1240	9	-100	-0.012503033333333432
1240	9	-50	-0.002822199999999997
1240	9	0	0.021506133333333437
1240	9	50	0.01637663333333343
1240	9	100	0.03574663333333339
1240	9	150	0.013946466666666657
1240	9	200	-0.016218533333333267
1240	9	250	-0.03230422380952388
1240	9	300	-0.038962866666666596
1240	9	350	-0.04787036666666674
1240	9	400	-0.03823703333333336
1240	9	450	2.9329999999997786e-4
1240	9	500	0.005914633333333382
1240	9	550	0.0358193
1240	9	600	0.07569596666666663
1240	9	650	0.11525280000000009
1240	9	700	0.1074866333333333
1240	9	750	0.06387923333333338
1240	9	800	-0.02988269999999993
1240	9	850	NA
1240	9	900	0.017716633333333398
1240	9	950	0.13868996666666664
1240	9	1e3	0.1492128
1240	9	1050	0.14700663333333333
1240	9	1100	0.1400254666666667
1240	9	1150	0.14785296666666672
1240	10	-200	0.0604894086021505
1240	10	-150	0.03640657526881719
1240	10	-100	-0.016127115207373293
1240	10	-50	-0.02747665806451609
1240	10	0	-0.04730040092165914
